ticks;ax_20300039 (Fs:1024Hz Unit:m/s^2);ay_20300039 (Fs:1024Hz Unit:m/s^2);az_20300039 (Fs:1024Hz Unit:m/s^2)
237;-0,251487821;-0,149101555;9,653998
238;-0,269528747;-0,145468414;9,653998
239;-0,271693647;-0,140382037;9,652562
240;-0,268807083;-0,149828181;9,649691
241;-0,262312382;-0,151281431;9,651844
242;-0,251487821;-0,139655411;9,652562
243;-0,249322921;-0,139655411;9,64897251
244;-0,255096018;-0,142561913;9,641076
245;-0,263034016;-0,146195039;9,638205
246;-0,27241528;-0,14837493;9,650409
247;-0,280353278;-0,141835287;9,66333
248;-0,2832398;-0,140382037;9,658305
249;-0,282518178;-0,142561913;9,646819
250;-0,282518178;-0,141835287;9,642511
251;-0,282518178;-0,146195039;9,647537
252;-0,281796545;-0,1534613;9,65328
253;-0,286848;-0,1585477;9,648254
254;-0,294064343;-0,154914558;9,646819
255;-0,294064343;-0,146195039;9,647537
256;-0,294064343;-0,144015163;9,64322948
257;-0,2933427;-0,14837493;9,643948
258;-0,283961445;-0,151281431;9,645383
259;-0,281796545;-0,1505548;9,642511
260;-0,29550764;-0,1505548;9,633897
261;-0,309940338;-0,151281431;9,631743
262;-0,3193216;-0,1505548;9,641076
263;-0,3250947;-0,1505548;9,647537
264;-0,315713435;-0,152008057;9,650409
265;-0,3048889;-0,14837493;9,647537
266;-0,3048889;-0,142561913;9,648254
267;-0,304167271;-0,149828181;9,658305
268;-0,310661972;-0,1534613;9,653998
269;-0,3287029;-0,144015163;9,646819
270;-0,343857229;-0,146921679;9,664766
271;-0,346022159;-0,149828181;9,668356
272;-0,3388058;-0,1476483;9,649691
273;-0,3351976;-0,149828181;9,651126
274;-0,338084161;-0,146195039;9,655434
275;-0,334475964;-0,144015163;9,65328
276;-0,3330327;-0,151281431;9,65687
277;-0,3431356;-0,149828181;9,650409
278;-0,3510736;-0,146921679;9,64897251
279;-0,358289957;-0,1505548;9,653998
280;-0,361898154;-0,146195039;9,649691
281;-0,351795226;-0,139655411;9,651844
282;-0,3510736;-0,144741789;9,65328
283;-0,360454857;-0,14837493;9,651126
284;-0,370557785;-0,141835287;9,649691
285;-0,381382316;-0,138928786;9,638923
286;-0,381382316;-0,139655411;9,63964
287;-0,376330853;-0,135295644;9,651126
288;-0,375609219;-0,135295644;9,650409
289;-0,372001052;-0,144015163;9,647537
290;-0,371279418;-0,1505548;9,648254
291;-0,375609219;-0,151281431;9,64897251
292;-0,38643375;-0,1505548;9,65328
293;-0,3994232;-0,146921679;9,651844
294;-0,404474676;-0,14837493;9,649691
295;-0,405917943;-0,151281431;9,651844
296;-0,405917943;-0,149828181;9,647537
297;-0,400144845;-0,152734682;9,646101
298;-0,400144845;-0,1585477;9,64897251
299;-0,3994232;-0,154914558;9,643948
300;-0,396536678;-0,1476483;9,647537
301;-0,404474676;-0,1476483;9,655434
302;-0,416742474;-0,1476483;9,643948
303;-0,418907374;-0,144015163;9,641794
304;-0,412412673;-0,1476483;9,654716
305;-0,4015881;-0,146195039;9,651844
306;-0,397979945;-0,144015163;9,646101
307;-0,410969377;-0,149828181;9,65328
308;-0,419629;-0,152008057;9,649691
309;-0,422515571;-0,1505548;9,647537
310;-0,43694827;-0,149828181;9,65328
311;-0,4456079;-0,152734682;9,646819
312;-0,4391132;-0,159274325;9,643948
313;-0,429731935;-0,152734682;9,646819
314;-0,4232372;-0,139655411;9,637486
315;-0,429731935;-0,144015163;9,640358
316;-0,4391132;-0,149101555;9,653998
317;-0,439834833;-0,143288538;9,655434
318;-0,441999733;-0,146921679;9,65687
319;-0,442721367;-0,152734682;9,665484
320;-0,444164634;-0,141835287;9,661895
321;-0,448494464;-0,13602227;9,651844
322;-0,447772831;-0,143288538;9,655434
323;-0,4535459;-0,141108662;9,647537
324;-0,46653536;-0,140382037;9,63964
325;-0,47086516;-0,1476483;9,657587
326;-0,474473357;-0,140382037;9,651844
327;-0,478081524;-0,13602227;9,641794
328;-0,4730301;-0,146195039;9,661895
329;-0,47086516;-0,142561913;9,654716
330;-0,4730301;-0,139655411;9,646819
331;-0,474473357;-0,146921679;9,664766
332;-0,483854622;-0,143288538;9,651126
333;-0,488184452;-0,138202161;9,63964
334;-0,476638258;-0,138928786;9,651126
335;-0,4730301;-0,140382037;9,646101
336;-0,4809681;-0,145468414;9,63964
337;-0,4773599;-0,1476483;9,646819
338;-0,465813726;-0,141835287;9,648254
339;-0,465813726;-0,138928786;9,646819
340;-0,475916624;-0,142561913;9,650409
341;-0,483133;-0,138928786;9,654716
342;-0,490349352;-0,135295644;9,652562
343;-0,4954008;-0,139655411;9,649691
344;-0,491792619;-0,143288538;9,652562
345;-0,486741155;-0,140382037;9,651126
346;-0,4852979;-0,144015163;9,651844
347;-0,4874628;-0,1505548;9,659741
348;-0,49395752;-0,146195039;9,656152
349;-0,5011739;-0,1505548;9,659741
350;-0,506947;-0,1585477;9,66692
351;-0,5098335;-0,1505548;9,651844
352;-0,5011739;-0,152734682;9,642511
353;-0,492514253;-0,1585477;9,64897251
354;-0,496844083;-0,146195039;9,644666
355;-0,5004523;-0,144015163;9,646819
356;-0,5026172;-0,149101555;9,650409
357;-0,506947;-0,142561913;9,646101
358;-0,506225348;-0,141108662;9,65687
359;-0,504060447;-0,1476483;9,659023
360;-0,499730617;-0,145468414;9,647537
361;-0,492514253;-0,139655411;9,647537
362;-0,49612242;-0,138202161;9,643948
363;-0,5055037;-0,139655411;9,651844
364;-0,5163282;-0,143288538;9,673381
365;-0,5271528;-0,141835287;9,668356
366;-0,530760944;-0,138928786;9,653998
367;-0,5249879;-0,142561913;9,655434
368;-0,514884949;-0,142561913;9,658305
369;-0,5055037;-0,138202161;9,650409
370;-0,5055037;-0,141108662;9,643948
371;-0,510555148;-0,144015163;9,651844
372;-0,517049849;-0,138928786;9,653998
373;-0,528596044;-0,139655411;9,652562
374;-0,5293177;-0,149101555;9,66333
375;-0,5184932;-0,149828181;9,657587
376;-0,5134417;-0,144015163;9,651844
377;-0,5119984;-0,144741789;9,661895
378;-0,512720048;-0,144015163;9,656152
379;-0,519936442;-0,1476483;9,654716
380;-0,5293177;-0,1505548;9,659741
381;-0,5322042;-0,141835287;9,649691
382;-0,524266243;-0,138202161;9,654716
383;-0,508390248;-0,138928786;9,659023
384;-0,494679153;-0,138928786;9,646101
385;-0,489627719;-0,144015163;9,649691
386;-0,496844083;-0,146921679;9,653998
387;-0,506225348;-0,14837493;9,64322948
388;-0,5119984;-0,151281431;9,646819
389;-0,5119984;-0,151281431;9,661177
390;-0,5091119;-0,149828181;9,659741
391;-0,504060447;-0,152008057;9,656152
392;-0,5004523;-0,157094449;9,65687
393;-0,506225348;-0,154187933;9,645383
394;-0,5091119;-0,1534613;9,64322948
395;-0,5098335;-0,1585477;9,654716
396;-0,519936442;-0,152008057;9,651126
397;-0,5213797;-0,14837493;9,647537
398;-0,510555148;-0,1534613;9,65328
399;-0,5026172;-0,14837493;9,651126
400;-0,49828735;-0,1476483;9,65328
401;-0,504060447;-0,152008057;9,651844
402;-0,5119984;-0,145468414;9,641076
403;-0,514884949;-0,144741789;9,653998
404;-0,5213797;-0,14837493;9,659023
405;-0,5184932;-0,144741789;9,640358
406;-0,5026172;-0,145468414;9,643948
407;-0,49395752;-0,143288538;9,65687
408;-0,4874628;-0,138202161;9,650409
409;-0,481689721;-0,138202161;9,651844
410;-0,488184452;-0,141108662;9,658305
411;-0,492514253;-0,143288538;9,651126
412;-0,491792619;-0,139655411;9,648254
413;-0,4954008;-0,137475535;9,65687
414;-0,49612242;-0,144741789;9,655434
415;-0,4954008;-0,149101555;9,643948
416;-0,489627719;-0,146921679;9,640358
417;-0,4809681;-0,149828181;9,646101
418;-0,4809681;-0,152008057;9,650409
419;-0,483854622;-0,149101555;9,65328
420;-0,486019522;-0,145468414;9,650409
421;-0,489627719;-0,144015163;9,646101
422;-0,482411355;-0,144015163;9,650409
423;-0,474473357;-0,141835287;9,649691
424;-0,467257;-0,141108662;9,646101
425;-0,457875729;-0,144741789;9,658305
426;-0,4614839;-0,143288538;9,66333
427;-0,472308457;-0,141835287;9,658305
428;-0,476638258;-0,146195039;9,66333
429;-0,472308457;-0,142561913;9,660459
430;-0,463648826;-0,139655411;9,651126
431;-0,463648826;-0,14837493;9,653998
432;-0,467257;-0,1505548;9,654716
433;-0,460762262;-0,152008057;9,64897251
434;-0,456432462;-0,16000095;9,651844
435;-0,4614839;-0,1585477;9,657587
436;-0,458597362;-0,151281431;9,659741
437;-0,457875729;-0,14837493;9,657587
438;-0,456432462;-0,1476483;9,661895
439;-0,4412781;-0,144741789;9,665484
440;-0,430453569;-0,144015163;9,65687
441;-0,429731935;-0,1505548;9,652562
442;-0,4391132;-0,152008057;9,649691
443;-0,4470512;-0,145468414;9,651844
444;-0,443443;-0,142561913;9,66333
445;-0,444164634;-0,141835287;9,658305
446;-0,440556467;-0,138928786;9,651844
447;-0,422515571;-0,138928786;9,659741
448;-0,418185741;-0,139655411;9,657587
449;-0,427567;-0,138928786;9,650409
450;-0,434061736;-0,138928786;9,65328
451;-0,434061736;-0,138928786;9,657587
452;-0,427567;-0,140382037;9,660459
453;-0,422515571;-0,137475535;9,661895
454;-0,416742474;-0,137475535;9,665484
455;-0,411691;-0,1476483;9,664766
456;-0,408804476;-0,152734682;9,64322948
457;-0,3994232;-0,1534613;9,64322948
458;-0,3972583;-0,149101555;9,655434
459;-0,4051963;-0,140382037;9,63964
460;-0,412412673;-0,143288538;9,658305
461;-0,421793938;-0,143288538;9,67697048
462;-0,4131343;-0,144015163;9,655434
463;-0,38210395;-0,1534613;9,66333
464;-0,361898154;-0,146195039;9,654716
465;-0,356125057;-0,137475535;9,638205
466;-0,3647847;-0,144741789;9,666202
467;-0,392206848;-0,143288538;9,662613
468;-0,3972583;-0,14837493;9,643948
469;-0,379217416;-0,166540578;9,664766
470;-0,3669496;-0,154914558;9,65687
471;-0,3510736;-0,133115768;9,631025
472;-0,3409707;-0,144015163;9,651844
473;-0,353960156;-0,154914558;9,651844
474;-0,369836122;-0,155641183;9,643948
475;-0,3748876;-0,1694471;9,681995
476;-0,374165952;-0,162180826;9,671945
477;-0,360454857;-0,144015163;9,631743
478;-0,340249062;-0,155641183;9,65328
479;-0,333754331;-0,154914558;9,65687
480;-0,335919231;-0,145468414;9,64322948
481;-0,3467438;-0,16000095;9,674099
482;-0,365506321;-0,152008057;9,66692
483;-0,366227955;-0,13602227;9,637486
484;-0,3546818;-0,146921679;9,650409
485;-0,343857229;-0,145468414;9,655434
486;-0,322208166;-0,138928786;9,640358
487;-0,304167271;-0,14837493;9,64897251
488;-0,310661972;-0,141108662;9,661895
489;-0,330146164;-0,1258495;9,646819
490;-0,3409707;-0,138928786;9,652562
