ticks;ax_20300039 (Fs:1024Hz Unit:m/s^2);ay_20300039 (Fs:1024Hz Unit:m/s^2);az_20300039 (Fs:1024Hz Unit:m/s^2)
585;-0,5343692;-0,372902483;9,793984
586;-0,542307138;-0,369995981;9,798292
587;-0,546636939;-0,3707226;9,7889595
588;-0,5473586;-0,369995981;9,782498
589;-0,5451937;-0,369995981;9,783216
590;-0,5372557;-0,372902483;9,788241
591;-0,532925844;-0,374355733;9,793984
592;-0,5336475;-0,369269341;9,793266
593;-0,5322042;-0,371449232;9,790395
594;-0,5235446;-0,375082344;9,789678
595;-0,5112768;-0,3678161;9,78537
596;-0,5047821;-0,369995981;9,784652
597;-0,5026172;-0,380168736;9,790395
598;-0,497565717;-0,375808984;9,795421
599;-0,489627719;-0,377262235;9,799727
600;-0,486741155;-0,386708379;9,795421
601;-0,4852979;-0,383801877;9,790395
602;-0,475916624;-0,383801877;9,789678
603;-0,46870026;-0,391794771;9,782498
604;-0,46870026;-0,395427883;9,786088
605;-0,4629272;-0,392521381;9,795421
606;-0,4549892;-0,386708379;9,801164
607;-0,4571541;-0,387435;9,80547
608;-0,4571541;-0,39034152;9,796138
609;-0,455710828;-0,385255128;9,78537
610;-0,460040629;-0,381622;9,790395
611;-0,460762262;-0,381622;9,796138
612;-0,458597362;-0,381622;9,792549
613;-0,459319;-0,385255128;9,786806
614;-0,459319;-0,3845285;9,778909
615;-0,462205529;-0,375808984;9,78178
616;-0,4629272;-0,375082344;9,793266
617;-0,462205529;-0,3765356;9,793266
618;-0,4629272;-0,374355733;9,786806
619;-0,465813726;-0,3707226;9,784652
620;-0,467257;-0,3707226;9,7889595
621;-0,462205529;-0,3765356;9,797574
622;-0,4629272;-0,377262235;9,800446
623;-0,47086516;-0,372902483;9,790395
624;-0,4650921;-0,372902483;9,784652
625;-0,449937731;-0,3736291;9,789678
626;-0,452824265;-0,372902483;9,793266
627;-0,4614839;-0,3765356;9,791113
628;-0,450659364;-0,377262235;9,795421
629;-0,43694827;-0,372902483;9,800446
630;-0,438391566;-0,375082344;9,804035
631;-0,443443;-0,380168736;9,801164
632;-0,434061736;-0,375808984;9,786806
633;-0,419629;-0,369995981;9,790395
634;-0,4174641;-0,369995981;9,801881
635;-0,422515571;-0,3707226;9,793984
636;-0,4174641;-0,372902483;9,789678
637;-0,4095261;-0,372902483;9,792549
638;-0,4095261;-0,3736291;9,786088
639;-0,405917943;-0,380168736;9,783935
640;-0,3994232;-0,383075237;9,791113
641;-0,394371748;-0,381622;9,792549
642;-0,395815045;-0,380895376;9,789678
643;-0,396536678;-0,385255128;9,791113
644;-0,38210395;-0,392521381;9,794703
645;-0,3748876;-0,391794771;9,796856
646;-0,376330853;-0,38961488;9,796856
647;-0,372001052;-0,391794771;9,796856
648;-0,370557785;-0,386708379;9,787523
649;-0,368392855;-0,383801877;9,782498
650;-0,3647847;-0,387435;9,793266
651;-0,355403423;-0,38961488;9,786806
652;-0,3431356;-0,392521381;9,790395
653;-0,3467438;-0,393248022;9,809778
654;-0,3532385;-0,387435;9,798292
655;-0,3510736;-0,385981739;9,801164
